标志,ID,人物,内容,跳转,效果,目标
#,57,我,卓玛最后深深看了一眼被追赶的藏羚羊们，随即和我一起跑走了。,58,此处应切换场景至村庄,
#,58,我,我们回到村庄，把所见所闻都告诉了扎西，我还给他看了我相机里拍到的照片。,59,,
#,59,我,他神色凝重，感谢了我，马上出门了。我猜测大概是去找他的队员们了。,60,,
#,60,我,卓玛从回来之后一直都闷闷不乐，不论我怎么逗她，她都不肯笑。,61,,
#,61,我,我在心里长叹了一口气。,62,,
#,62,我,晚饭的时候，我得知村里人决定组建起更大的巡逻队，每天在各个点位巡察，一发现异象，马上集合处理。,63,,
#,63,卓玛,我也要去！,64,,
#,64,我,我嘴里的饭差点喷出来。,65,,
#,65,扎西,不可能。,66,,
#,66,我,扎西严厉地拒绝了她。,67,,
#,67,卓玛,为什么！,68,,
#,68,扎西,没有为什么。,69,,
#,69,卓玛,为什么为什么为什么为什么为什么为什么为什么为什么为什么......！！！,70,,
#,70,我,卓玛不依不饶，大有一哭二闹三上吊之势。,71,,
#,71,我,扎西叹了一口气。,72,,
#,72,扎西,这远比你想象中要危险，卓玛。,73,,
#,73,扎西,你们今天也看到了，他们手里有枪，我不可能让你冒这样的风险。,74,,
#,74,扎西,况且你还太小了，可能连武器都举不动，又要怎么保护自己？,75,,
#,75,卓玛,......,76,,
#,76,我,卓玛不再说话，安静地吃着饭。,77,,
#,77,我,晚餐结束，我盘坐在床上，整理今天的照片。,78,,
#,78,我,有风景、有动物、有我和卓玛两个人故意摆的鬼脸，看着照片，我几乎能回想起按下快门时的心情。,79,,
#,79,我,这也是我开始摄影的初衷。,80,,
#,80,我,翻到最后几张的时候，我的心情愈发沉重，既不忍去看，又无法抑制地去看。,81,,
#,81,我,我一直以为盗猎这种事情已经相当遥远了。,82,,
#,82,我,他们究竟是出于什么目的，什么心情，做出这样的事情呢？,83,,
#,83,我,我想到那只叫多吉的藏羚羊，它也在其中吗？会不会已经惨遭毒手？,84,,
#,84,我,我实在无法再继续放任自己想下去，索性披上外套，打算出门走走换个心情。,85,,
#,85,我,夜晚的风有些冷，让我慢慢的清醒下来。,86,,
#,86,我,突然，我看到前面的围栏外，有一个熟悉的身影。,87,,
#,87,我,在月光下油光发亮的角和皮毛，健美的身材，是多吉！,88,,
#,88,我,此刻没有什么比看到它更让我开心了，我立刻冲上去，它出乎意料的没有躲开。,89,,
#,89,我,看到你真是太好了！,90,,
#,90,我,我发自内心地说道，虽然它没办法听懂我说的话，但我还是想把这份心情传递给它。,91,,
#,91,我,它棕色的眼睛看着我，让我不禁着迷，多么美丽的生物！,92,,
#,92,我,想到今天的事情，我又开始有些难过。,93,,
#,93,？,很高兴听到你这么说。,94,,
#,94,我,我吓了一跳，四处张望，但周围静悄悄的，没有一个人影。,95,,
#,95,我,不，再怎么样，也不至于因为今天的刺激就疯了吧......我拍拍自己的脑袋。,96,,
#,96,？,是我，多吉。,97,,
#,97,我,我以一种近乎幽默的速度瞠目结舌地抬起头，不敢相信自己的耳朵。,98,,
#,98,我,你？,99,,
#,99,我,它对着我打了个喷嚏，而后昂起头。,100,,
#,100,多吉,对，是我。,101,,
#,101,我,你会说话？？？,102,,
#,102,我,我的大脑已经一片空白了。,103,,
#,103,多吉,是的，但是这并不是重点。我感受到了你内心的那份善良，以及对自然的热爱。,104,,
#,104,多吉,我想要拜托你，一起，保护我们。,105,,
#,105,我,我有很多想说的。比如你为什么会说话，为什么是我，能不能保佑又出bug了对不队在beta答辩拿下90分等等.....,106,,
#,106,我,但是看着它盛满了悲伤的眼睛，最后脱口而出的只有一句话。,107,,
#,107,我,我会的。,108,,
#,108,多吉,谢谢你。,109,,
#,109,我,它看着我，用毛茸茸的头轻蹭了我一下。,110,,
#,110,我,怎么回到屋子里的我都已经忘记了，第二天醒来的时候，我一度认为那是个梦境。,111,,
#,111,我,不过我还是找到了扎西。,112,,
#,112,我,我想要加入你们的巡逻队。,113,,
#,113,我,他定定地看着我。,114,,
#,114,扎西,你考虑清楚了吗？,115,,
#,115,我,是的。,116,,
#,116,扎西,谢谢你。,117,,
#,117,我,他结实地拍了两下我的肩膀，还怪痛的。,118,,
#,118,我,总之，这就是我这段奇妙冒险的开端。,119,,
END,119,,,,,
